symbol,timestamp,close,endTime,startTime,chartPrevClose,interval,range
EURJPY=X,1658098800,138.9541,,,136.867,1wk,1y
EURJPY=X,1658703600,136.207,,,136.867,1wk,1y
EURJPY=X,1659308400,137.451,,,136.867,1wk,1y
EURJPY=X,1659913200,136.958,,,136.867,1wk,1y
EURJPY=X,1660518000,137.5013,,,136.867,1wk,1y
EURJPY=X,1661122800,137.0335,,,136.867,1wk,1y
EURJPY=X,1661727600,139.565,,,136.867,1wk,1y
EURJPY=X,1662332400,144.6921,,,136.867,1wk,1y
EURJPY=X,1662937200,143.972,,,136.867,1wk,1y
EURJPY=X,1663542000,138.8511,,,136.867,1wk,1y
EURJPY=X,1664146800,141.91,,,136.867,1wk,1y
EURJPY=X,1664751600,141.5713,,,136.867,1wk,1y
EURJPY=X,1665356400,144.6254,,,136.867,1wk,1y
EURJPY=X,1665961200,145.6088,,,136.867,1wk,1y
EURJPY=X,1666566000,146.9563,,,136.867,1wk,1y
EURJPY=X,1667174400,145.2465,,,136.867,1wk,1y
EURJPY=X,1667779200,143.9656,,,136.867,1wk,1y
EURJPY=X,1668384000,145.1997,,,136.867,1wk,1y
EURJPY=X,1668988800,144.8865,,,136.867,1wk,1y
EURJPY=X,1669593600,141.5279,,,136.867,1wk,1y
EURJPY=X,1670198400,144.0278,,,136.867,1wk,1y
EURJPY=X,1670803200,144.8937,,,136.867,1wk,1y
EURJPY=X,1671408000,141.6484,,,136.867,1wk,1y
EURJPY=X,1672012800,140.6382,,,136.867,1wk,1y
EURJPY=X,1672617600,140.8478,,,136.867,1wk,1y
EURJPY=X,1673222400,138.7319,,,136.867,1wk,1y
EURJPY=X,1673827200,140.9148,,,136.867,1wk,1y
EURJPY=X,1674432000,141.2123,,,136.867,1wk,1y
EURJPY=X,1675036800,142.028,,,136.867,1wk,1y
EURJPY=X,1675641600,140.6389,,,136.867,1wk,1y
EURJPY=X,1676246400,143.7607,,,136.867,1wk,1y
EURJPY=X,1676851200,144.448,,,136.867,1wk,1y
EURJPY=X,1677456000,144.6645,,,136.867,1wk,1y
EURJPY=X,1678060800,143.8666,,,136.867,1wk,1y
EURJPY=X,1678665600,142.0871,,,136.867,1wk,1y
EURJPY=X,1679270400,140.965,,,136.867,1wk,1y
EURJPY=X,1679871600,144.3309,,,136.867,1wk,1y
EURJPY=X,1680476400,145.3156,,,136.867,1wk,1y
EURJPY=X,1681081200,148.5898,,,136.867,1wk,1y
EURJPY=X,1681686000,148.8847,,,136.867,1wk,1y
EURJPY=X,1682290800,148.24,,,136.867,1wk,1y
EURJPY=X,1682506150,147.604,,,136.867,1wk,1y
GBPAUD=X,1650841200,1.77,,,1.7746,1wk,1y
GBPAUD=X,1651446000,1.7377,,,1.7746,1wk,1y
GBPAUD=X,1652050800,1.7642,,,1.7746,1wk,1y
GBPAUD=X,1652655600,1.7558,,,1.7746,1wk,1y
GBPAUD=X,1653260400,1.7588,,,1.7746,1wk,1y
GBPAUD=X,1653865200,1.705,,,1.7746,1wk,1y
GBPAUD=X,1654470000,1.7468,,,1.7746,1wk,1y
GBPAUD=X,1655074800,1.7684,,,1.7746,1wk,1y
GBPAUD=X,1655679600,1.7537,,,1.7746,1wk,1y
GBPAUD=X,1656284400,1.7577,,,1.7746,1wk,1y
GBPAUD=X,1656889200,1.7549,,,1.7746,1wk,1y
GBPAUD=X,1657494000,1.7465,,,1.7746,1wk,1y
GBPAUD=X,1658098800,1.7337,,,1.7746,1wk,1y
GBPAUD=X,1658703600,1.729,,,1.7746,1wk,1y
GBPAUD=X,1659308400,1.7189,,,1.7746,1wk,1y
GBPAUD=X,1659913200,1.7036,,,1.7746,1wk,1y
GBPAUD=X,1660518000,1.7196,,,1.7746,1wk,1y
GBPAUD=X,1661122800,1.7081,,,1.7746,1wk,1y
GBPAUD=X,1661727600,1.6855,,,1.7746,1wk,1y
GBPAUD=X,1662332400,1.6922,,,1.7746,1wk,1y
GBPAUD=X,1662937200,1.7093,,,1.7746,1wk,1y
GBPAUD=X,1663542000,1.6782,,,1.7746,1wk,1y
GBPAUD=X,1664146800,1.7352,,,1.7746,1wk,1y
GBPAUD=X,1664751600,1.7147,,,1.7746,1wk,1y
GBPAUD=X,1665356400,1.7966,,,1.7746,1wk,1y
GBPAUD=X,1665961200,1.7625,,,1.7746,1wk,1y
GBPAUD=X,1666566000,1.8014,,,1.7746,1wk,1y
GBPAUD=X,1667174400,1.7251,,,1.7746,1wk,1y
GBPAUD=X,1667779200,1.7636,,,1.7746,1wk,1y
GBPAUD=X,1668384000,1.7462,,,1.7746,1wk,1y
GBPAUD=X,1668988800,1.7879,,,1.7746,1wk,1y
GBPAUD=X,1669593600,1.8053,,,1.7746,1wk,1y
GBPAUD=X,1670198400,1.8005,,,1.7746,1wk,1y
GBPAUD=X,1670803200,1.8066,,,1.7746,1wk,1y
GBPAUD=X,1671408000,1.7928,,,1.7746,1wk,1y
GBPAUD=X,1672012800,1.7642,,,1.7746,1wk,1y
GBPAUD=X,1672617600,1.7563,,,1.7746,1wk,1y
GBPAUD=X,1673222400,1.7505,,,1.7746,1wk,1y
GBPAUD=X,1673827200,1.7768,,,1.7746,1wk,1y
GBPAUD=X,1674432000,1.7415,,,1.7746,1wk,1y
GBPAUD=X,1675036800,1.7487,,,1.7746,1wk,1y
GBPAUD=X,1675641600,1.7458,,,1.7746,1wk,1y
GBPAUD=X,1676246400,1.7501,,,1.7746,1wk,1y
GBPAUD=X,1676851200,1.7764,,,1.7746,1wk,1y
GBPAUD=X,1677456000,1.7757,,,1.7746,1wk,1y
GBPAUD=X,1678060800,1.829,,,1.7746,1wk,1y
GBPAUD=X,1678665600,1.8166,,,1.7746,1wk,1y
GBPAUD=X,1679270400,1.8369,,,1.7746,1wk,1y
GBPAUD=X,1679871600,1.8452,,,1.7746,1wk,1y
GBPAUD=X,1680476400,1.8612,,,1.7746,1wk,1y
GBPAUD=X,1681081200,1.8491,,,1.7746,1wk,1y
GBPAUD=X,1681686000,1.8574,,,1.7746,1wk,1y
GBPAUD=X,1682290800,1.8645,,,1.7746,1wk,1y
GBPAUD=X,1682506151,1.8898,,,1.7746,1wk,1y
EURGBP=X,1650841200,0.8347,,,0.8409,1wk,1y
EURGBP=X,1651446000,0.8491,,,0.8409,1wk,1y
EURGBP=X,1652050800,0.8406,,,0.8409,1wk,1y
EURGBP=X,1652655600,0.8384,,,0.8409,1wk,1y
EURGBP=X,1653260400,0.8424,,,0.8409,1wk,1y
EURGBP=X,1653865200,0.8517,,,0.8409,1wk,1y
EURGBP=X,1654470000,0.8504,,,0.8409,1wk,1y
EURGBP=X,1655074800,0.7134,,,0.8409,1wk,1y
EURGBP=X,1655679600,0.8568,,,0.8409,1wk,1y
EURGBP=X,1656284400,0.8587,,,0.8409,1wk,1y
EURGBP=X,1656889200,0.8406,,,0.8409,1wk,1y
EURGBP=X,1657494000,0.8475,,,0.8409,1wk,1y
EURGBP=X,1658098800,0.8508,,,0.8409,1wk,1y
EURGBP=X,1658703600,0.8346,,,0.8409,1wk,1y
EURGBP=X,1659308400,0.8426,,,0.8409,1wk,1y
EURGBP=X,1659913200,0.8453,,,0.8409,1wk,1y
EURGBP=X,1660518000,0.8487,,,0.8409,1wk,1y
EURGBP=X,1661122800,0.8489,,,0.8409,1wk,1y
EURGBP=X,1661727600,0.8586,,,0.8409,1wk,1y
EURGBP=X,1662332400,0.8753,,,0.8409,1wk,1y
EURGBP=X,1662937200,0.8718,,,0.8409,1wk,1y
EURGBP=X,1663542000,0.8926,,,0.8409,1wk,1y
EURGBP=X,1664146800,0.852,,,0.8409,1wk,1y
EURGBP=X,1664751600,0.878,,,0.8409,1wk,1y
EURGBP=X,1665356400,0.8536,,,0.8409,1wk,1y
EURGBP=X,1665961200,0.8721,,,0.8409,1wk,1y
EURGBP=X,1666566000,0.8568,,,0.8409,1wk,1y
EURGBP=X,1667174400,0.882,,,0.8409,1wk,1y
EURGBP=X,1667779200,0.8741,,,0.8409,1wk,1y
EURGBP=X,1668384000,0.8699,,,0.8409,1wk,1y
EURGBP=X,1668988800,0.8625,,,0.8409,1wk,1y
EURGBP=X,1669593600,0.8584,,,0.8409,1wk,1y
EURGBP=X,1670198400,0.8613,,,0.8409,1wk,1y
EURGBP=X,1670803200,0.8718,,,0.8409,1wk,1y
EURGBP=X,1671408000,0.885,,,0.8409,1wk,1y
EURGBP=X,1672012800,0.8901,,,0.8409,1wk,1y
EURGBP=X,1672617600,0.8803,,,0.8409,1wk,1y
EURGBP=X,1673222400,0.8868,,,0.8409,1wk,1y
EURGBP=X,1673827200,0.8784,,,0.8409,1wk,1y
EURGBP=X,1674432000,0.8774,,,0.8409,1wk,1y
EURGBP=X,1675036800,0.8966,,,0.8409,1wk,1y
EURGBP=X,1675641600,0.8865,,,0.8409,1wk,1y
EURGBP=X,1676246400,0.8896,,,0.8409,1wk,1y
EURGBP=X,1676851200,0.8856,,,0.8409,1wk,1y
EURGBP=X,1677456000,0.8858,,,0.8409,1wk,1y
EURGBP=X,1678060800,0.8847,,,0.8409,1wk,1y
EURGBP=X,1678665600,0.885,,,0.8409,1wk,1y
EURGBP=X,1679270400,0.882,,,0.8409,1wk,1y
EURGBP=X,1679871600,0.8805,,,0.8409,1wk,1y
EURGBP=X,1680476400,0.8851,,,0.8409,1wk,1y
EURGBP=X,1681081200,0.8949,,,0.8409,1wk,1y
EURGBP=X,1681686000,0.8924,,,0.8409,1wk,1y
EURGBP=X,1682290800,0.8846,,,0.8409,1wk,1y
EURGBP=X,1682506151,0.8857,,,0.8409,1wk,1y
GBPUSD=X,1650841200,1.2575,,,1.274,1wk,1y
GBPUSD=X,1651446000,1.2341,,,1.274,1wk,1y
GBPUSD=X,1652050800,1.227,,,1.274,1wk,1y
GBPUSD=X,1652655600,1.249,,,1.274,1wk,1y
GBPUSD=X,1653260400,1.263,,,1.274,1wk,1y
GBPUSD=X,1653865200,1.249,,,1.274,1wk,1y
GBPUSD=X,1654470000,1.2318,,,1.274,1wk,1y
GBPUSD=X,1655074800,1.2227,,,1.274,1wk,1y
GBPUSD=X,1655679600,1.2266,,,1.274,1wk,1y
GBPUSD=X,1656284400,1.211,,,1.274,1wk,1y
GBPUSD=X,1656889200,1.2031,,,1.274,1wk,1y
GBPUSD=X,1657494000,1.1856,,,1.274,1wk,1y
GBPUSD=X,1658098800,1.2006,,,1.274,1wk,1y
GBPUSD=X,1658703600,1.218,,,1.274,1wk,1y
GBPUSD=X,1659308400,1.2074,,,1.274,1wk,1y
GBPUSD=X,1659913200,1.2142,,,1.274,1wk,1y
GBPUSD=X,1660518000,1.1831,,,1.274,1wk,1y
GBPUSD=X,1661122800,1.1751,,,1.274,1wk,1y
GBPUSD=X,1661727600,1.151,,,1.274,1wk,1y
GBPUSD=X,1662332400,1.1602,,,1.274,1wk,1y
GBPUSD=X,1662937200,1.1538,,,1.274,1wk,1y
GBPUSD=X,1663542000,1.086,,,1.274,1wk,1y
GBPUSD=X,1664146800,1.1152,,,1.274,1wk,1y
